WS	WG	category	definition	gloss	uni_lemma	new_gloss	new_uni_lemma	notes	
item_214		household	bolsa (útiles domésticos)	bag	bag		bag		*
item_215	item_139	household	botella/mamila	bottle	bottle			conflict with the definition, botella means bottle; whereas mamila means baby bottle	*
item_216	item_140	household	caja	box	box				
item_217		household	cámara	camera	camera		camera		
item_218		household	canasta	basket	basket		basket		
item_219		household	cassette	cassette	cassette		cassette		
item_220	item_141	household	cepillo de dientes	toothbrush	toothbrush				
item_221	item_142	household	cepillo (de pelo)	brush	brush (object)				*
item_222		household	cerillos	matches	matches		matches		
item_223	item_143	household	chupón/chupete	pacifier	pacifier				
item_224	item_144	household	cigarros	cigarettes	cigarette				
item_225		household	clavo	nail	nail (object)		nail (object)		*
item_226	item_145	household	cobija	blanket	blanket				
item_227	item_146	household	cuadro	picture	picture				
item_228		household	cubeta	tray	tray		tray		
item_229	item_147	household	cuchara	spoon	spoon				
item_230	item_148	household	cuchillo	knife	knife				
item_231	item_149	household	dinero	money	money				
item_232	item_150	household	escoba	broom	broom				
item_233	item_151	household	espejo	mirror	mirror				
item_234	item_152	household	fotos	photos	photo		photo		
item_235	item_153	household	jabón	soap	soap				
item_236		household	lámpara	lamp	lamp		lamp		
item_237		household	llave	key	key		key		
item_238	item_155	household	luz	light	light (object)				*
item_239	item_156	household	martillo	hammer	hammer				
item_240	item_157	household	medicina (remedios)	medicine	medicine	medicine		I suggest pill as a new_gloss instead of medicine	*
item_241		household	olla	cooking pot	pot		pot		
item_242		household	pañuelo	handkerchief	tissue		tissue		
item_243	item_158	household	papel	paper	paper				
item_244		household	pasta de dientes	toothpaste	toothpaste		toothpaste		
item_245	item_159	household	peine	hair comb	comb (object)				
item_246		household	periódico	newspaper	newspaper		newspaper		
item_247		household	plancha	iron	iron		iron		
item_248	item_160	household	plato	dish	plate				
item_249	item_161	household	radio	radio	radio				
item_250	item_162	household	reloj	watch	watch (object)				
item_251		household	servilleta	napkin	napkin		napkin		
item_252		household	tapete	rug	rug		rug		
item_253	item_163	household	taza	cup	cup				
item_254	item_164	household	teléfono	phone	telephone				
item_255	item_165	household	tenedor	fork	fork				
item_256	item_166	household	tijeras	pair of scissors	scissors				
item_257	item_167	household	toalla	towel	towel				
item_258	item_168	household	trapo	cloth	cloth				
item_259		household	vasos	glasses	glass				
item_260	item_170	household	vela (objeto doméstico)	candle	candle				*
item_261	item_195	outside	alberca/piscina	pool	pool				
item_262	item_196	outside	árbol	tree	tree				
item_263		outside	bandera	flag	flag		flag		
item_264	item_200	outside	cielo	sky	sky				
item_265		outside	coladera	drain	drain (object)		drain (object)		
item_266	item_201	outside	columpio	swing	swing (object)				
item_267	item_203	outside	estrella 	star	star				
item_268	item_205	outside	flor	flower	flower				
item_269		outside	fuego	fire	fire		fire		
item_270		outside	hojas (de árbol)	leaves	leaf		leaf		*
item_271		outside	leña	firewood	firewood		firewood		
item_272	item_208	outside	lluvia	rain	rain				
item_273	item_209	outside	luna	moon	moon				
item_274		outside	maceta	flower pot	flower pot		flower pot		
item_275		outside	manguera	hose	hose		hose		
item_276		outside	muñeco de nieve	snowman	snowman		snowman		
item_277	item_210	outside	nieve (nevada)	snow	snow				*
item_278	item_211	outside	nube	cloud	cloud				
item_279		outside	pala	shovel	shovel (object)		shovel (object)		
item_280		outside	palo	stick	stick		stick		
item_281		outside	pasto	grass	grass		grass		
item_282	item_213	outside	piedra	stone	rock (object)				
item_283	item_214	outside	planta	plant	plant (object)		plant (object)		*
item_284		outside	reja	grill	grill (object)		grill (object)	reja means fence. if you refer to grill then is parrilla	*
item_285	item_216	outside	resbaladilla	slide	slide (object)				
item_286	item_217	outside	sol	sun	sun		sun		
item_287		outside	tanque (depósito)	tank				tanque is a storage container for liquids, but also means a military tank. I guess you mean the first one, if that's the case I think you have to change the gloss to something like "water container"	*
item_288	item_218	outside	techo	ceiling	roof				
item_289		outside	tierra	earth	earth		earth	soil / ground? - tierra here might refer to soil and not earth (I suggest to replace it by soil as a new gloss and ground as a new_uni_lemma)	*
item_290		outside	timbre 	doorbell	doorbell		doorbell		
item_291		outside	viento/aire	wind	wind		wind		
item_292	item_171	furniture_rooms	bacinica	potty	potty				
item_293		furniture_rooms	banco (mueble)	bench	bench		bench		*
item_294	item_172	furniture_rooms	baño (cuarto)	bath	bathroom	bathroom			*
item_295	item_173	furniture_rooms	cajón	drawer	drawer				
item_296	item_174	furniture_rooms	cama	bed	bed				
item_297		furniture_rooms	champú	shampoo	shampoo		shampoo		
item_298		furniture_rooms	cochera/garage	garage	garage				
item_299	item_176	furniture_rooms	cocina (cuarto)	kitchen room	kitchen				*
item_300		furniture_rooms	computadora	computer	computer		computer		
item_301	item_177	furniture_rooms	cuarto	room	room				
item_302	item_178	furniture_rooms	cuna	crib	crib				
item_303		furniture_rooms	escaleras	stairs	stairs				
item_304	item_180	furniture_rooms	estufa	stove	stove				
item_305	item_181	furniture_rooms	horno	oven	oven				
item_306	item_182	furniture_rooms	lavabo	sink	sink		sink (object)		*
item_307		furniture_rooms	lavadora	washing machine	washing machine		washing machine		
item_308		furniture_rooms	librero	bookcase	bookcase		bookcase		
item_309	item_183	furniture_rooms	mesa	table top	table				
item_310		furniture_rooms	mueble	piece of furniture	furniture		furniture		
